ID,Name,SpType,[Fe/H],e[Fe/H],A(Li),eA(Li),Teff_K,eTeff_K,vsini,Age_Ga,eAge_Ga,M_Msol,eM_Msol,logRHK,elogRHK,Prot_d,R_Rsol,N_planets,sum_Mp,Porb_d,a_au,e,logOD,Pl,Nbr.
HD102195,HD 102195  ,K0V,0.04,0.05,0.45,,5300,30,2.8,1.31,1.412,0.88,0.022,-4.69517266632,0.1188191582,12.3,0.853,1,0.45,4.113775,0.049,0,0.3129151,Y,1
HD102200,HD 102200  ,F2V,-1.11,0.04,2.42,0.1,6127,93,4.5,10.08,1.361,0.795,0.02,,,,1.078,,,,,,,N,
HD102300,HD 102300  ,F7V,-0.26,0.05,2.39,0.1,6005,56,4.5,8.481,1.005,0.967,0.038,,,13.9899,1.51,,,,,,,N,
HD102365,HD 102365  ,G3/G5V,-0.3,0.02,0.52,,5878,210,0.1,3.613,3.466,0.891,0.038,-4.86854417008,-0.0150309347700004,26,0.842,1,0.05,122.1,0.46,0.34,7.6904546,Y,1
HD102634,HD 102634  ,G2/3V,0.18,0.02,2.54,0.12,6311,55,6.6,1.978,0.409,1.31,0.019,-4.83326653483,0,10,1.528,,,,,,,N,
HD102870,* bet Vir  ,F9V,0.13,0.02,1.58,0.07,6146,523,4,2.252,1.758,1.307,0.058,-4.805030929405,0.0417022131349993,12,1.743,,,,,,,N,
HD103095,HD 103095  ,G2/3V,-1.25,0.02,0.76,0.11,5846,140,5.7,0.105,0.007,4.683,0.107,-4.8162873755,-0.0302091974799996,7,0.696,,,,,,,N,
HD103432,HD 103432  ,G2/3V,-0.11,0.02,1.4,,5655,36,4.3,1.565,1.446,0.931,0.024,-4.492511822095,-0.127312426354999,0.918105,0.917,,,,,,,N,
HD103774,HD 103774  ,F6V,0.26,0.1,1.26,,,93,7.95,1.544,0.713,1.363,0.031,-4.7643,0.0073,,1.533,1,0.367,5.8881,0.07,0.09,0.3100478,Y,1
HD103891,HD 103891  ,G2/3V,-0.16,0.04,0.68,0.05,5990,52,3.69,4.072,0.134,1.219,0.019,-5.125987166495,0.253478768865,,2.299,,,,,,,N,
HD104067,HD 104067  ,K2V,0.06,0.03,0.55,,4974,51,6.7,2.018,2.396,0.8,0.017,-4.55494645299,-0.20991897673,0.954545,0.812,1,0.186,55.806,0.2643,0,5.6004407,Y,1
HD104263,HD 104263  ,G2/3V,0.01,0.02,0.04,,5467,91,2.8,6.167,4.151,0.92,0.037,-4.919192340955,-0.0617976693450002,39,1.049,,,,,,,N,
HD104304,HD 104304  ,G2/3V,0.28,0.02,0.32,0.05,5519,150,2,0.654,0.053,2.522,0.073,-4.736272406555,-0.256211646935,,0.915,,,,,,,N,
